epoch;acc;loss;val_acc;val_loss
0;0.5105;0.6944573678970337;0.5;0.6887308311462402
1;0.5635;0.6786029987335205;0.61875;0.6584954977035522
2;0.595;0.6612232575416565;0.63625;0.6408363568782807
3;0.6195;0.6499789299964904;0.645;0.6334339570999146
4;0.6605;0.6264286499023437;0.66375;0.6128852725028991
